quarter,clock_remaining,quarter_elapsed_sec,quarter_elapsed,categories,score,description
"Q4","07:40","140","02:20","score","67 - 59","9 Ying-Chun Chen | +1 | 1st free throw made"
"Q4","07:21","159","02:39","score","67 - 61","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"Q4","07:06","174","02:54","score","69 - 61","33 Seounghyun Lee | +2 | 2PtsFG inside center, jump shot made"
"Q4","06:19","221","03:41","foul_possession_convert","69 - 61","34 Brandon Gilbeck Offensive foul"
"Q4","05:58","242","04:02","defensive_rebound","69 - 61","34 Brandon Gilbeck defensive rebound"
"Q4","05:49","251","04:11","defensive_rebound","69 - 61","33 Seounghyun Lee defensive rebound"
"Q4","05:30","270","04:30","defensive_rebound","69 - 61","7 Ai-Che Yu defensive rebound"
"Q4","05:10","290","04:50","defensive_rebound","69 - 61","33 Seounghyun Lee defensive rebound"
"Q4","04:49","311","05:11","defensive_rebound","69 - 61","7 Ai-Che Yu defensive rebound"
"Q4","04:47","313","05:13","score","69 - 64","2 Riven Ma | +1 | 1st free throw made"
"Q4","04:47","313","05:13","score","69 - 63","2 Riven Ma | +2 | 2PtsFG under the basket, fast break, layup made"
"Q4","04:13","347","05:47","defensive_rebound","69 - 64","team defensive rebound"
"Q4","03:50","370","06:10","defensive_rebound","69 - 64","2 Junyong Choi defensive rebound"
"Q4","03:29","391","06:31","defensive_rebound","69 - 64","34 Brandon Gilbeck defensive rebound"
"Q4","03:19","401","06:41","score","69 - 66","7 Ai-Che Yu | +2 | 2PtsFG under the basket, driving layup made"
"Q4","02:51","429","07:09","defensive_rebound","69 - 66","1 Bachir Gadiaga defensive rebound"
"Q4","02:38","442","07:22","score","69 - 68","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"Q4","01:50","490","08:10","defensive_rebound","69 - 68","1 Bachir Gadiaga defensive rebound"
"Q4","01:27","513","08:33","score","69 - 70","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"Q4","01:03","537","08:57","defensive_rebound","69 - 70","11 Woosuk Lee defensive rebound"
"Q4","01:02","538","08:58","score","71 - 70","11 Woosuk Lee | +2 | 2PtsFG under the basket, fast break, driving layup made"
"Q4","01:01","539","08:59","score","72 - 70","11 Woosuk Lee | +1 | 1st free throw made"
"Q4","00:39","561","09:21","score","72 - 72","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made"
"Q4","00:39","561","09:21","score","72 - 71","34 Brandon Gilbeck | +1 | 1st of 2 free throws made"
"Q4","00:20","580","09:40","score","75 - 72","6 Junghyun Lee | +3 | 3pt jump shot from center made"
"Q4","00:08","592","09:52","score","75 - 75","0 Benson Lin | +3 | 3pt jump shot made"
